rssi,signal,mac,location
30,-66,fc:ec:da:37:79:6a,Office
31,-65,fc:ec:da:37:79:6a,Office
28,-68,fc:ec:da:37:79:6a,Office
28,-68,fc:ec:da:37:79:6a,Office
33,-63,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
31,-65,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
31,-65,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
31,-65,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
31,-65,fc:ec:da:37:79:6a,Office
31,-65,fc:ec:da:37:79:6a,Office
42,-54,fc:ec:da:37:79:6a,Office
35,-61,78:8a:20:80:45:b6,Office
34,-62,fc:ec:da:37:79:6a,Office
36,-60,fc:ec:da:37:79:6a,Office
36,-60,fc:ec:da:37:79:6a,Office
31,-65,fc:ec:da:37:79:6a,Office
31,-65,fc:ec:da:37:79:6a,Office
31,-65,fc:ec:da:37:79:6a,Office
28,-68,fc:ec:da:37:79:6a,Office
28,-68,fc:ec:da:37:79:6a,Office
28,-68,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
24,-72,fc:ec:da:37:79:6a,Office
40,-56,fc:ec:da:37:79:6a,Office
41,-55,fc:ec:da:37:79:6a,Office
41,-55,fc:ec:da:37:79:6a,Office
35,-61,fc:ec:da:37:79:6a,Office
37,-59,fc:ec:da:37:79:6a,Office
40,-56,fc:ec:da:37:79:6a,Office
40,-56,fc:ec:da:37:79:6a,Office
43,-53,fc:ec:da:37:79:6a,Office
43,-53,fc:ec:da:37:79:6a,Office
41,-55,fc:ec:da:37:79:6a,Office
42,-54,fc:ec:da:37:79:6a,Office
43,-53,fc:ec:da:37:79:6a,Office
43,-53,fc:ec:da:37:79:6a,Office
43,-53,fc:ec:da:37:79:6a,Office
43,-53,fc:ec:da:37:79:6a,Office
43,-53,fc:ec:da:37:79:6a,Office
43,-53,fc:ec:da:37:79:6a,Office
43,-53,fc:ec:da:37:79:6a,Office
43,-53,fc:ec:da:37:79:6a,Office
44,-52,fc:ec:da:37:79:6a,Office
40,-56,fc:ec:da:37:79:6a,Office
39,-57,fc:ec:da:37:79:6a,Office
42,-54,fc:ec:da:37:79:6a,Office
37,-59,fc:ec:da:37:79:6a,Office
28,-68,fc:ec:da:37:79:6a,Office
27,-69,fc:ec:da:37:79:6a,Office
31,-65,fc:ec:da:37:79:6a,Office
31,-65,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
32,-64,fc:ec:da:37:79:6a,Office
